"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.name","metaResult.symbol","metaResult.seller_fee_basis_points","metaResult.description","metaResult.image","metaResult.edition","metaResult.external_url","metaResult.collection.name","metaResult.collection.family","metaResult.attributes","metaResult.properties.creators","metaResult.properties.files"
"[""3vZHVJwTK4fbX2mmfJsTrAkdBieGKy3qnQan87SuWVAB"",""EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ"",""4yMnN8ZDgEVGSFjcGcydsEsxPFUYsnev2vicNA1rS4dH""]","Solsunsets #2019","[0,50,50]","SSUNS","https://arweave.net/y6UPMsCtQ9gKzN0cI-bSRm7suurhj5_CC5e7FoinMF4","[1,1,1]",true,"tD69mmUgPv8YVuy1GU73bPyCwVnHxYxYb6iPEp57hcE",true,"EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ","https://explorer.solana.com/address/tD69mmUgPv8YVuy1GU73bPyCwVnHxYxYb6iPEp57hcE","Solsunsets #2019","SSUNS","400","Sunset retrowave landscapes on Solana","https://arweave.net/5eb-sthQ-u2SQ8jTN-bT90Da9d67wX1sy5OKCL5dOqE?ext=png","Summer of 1988","https://solsunsets.com","Solsunsets","Solsunsets","[{""trait_type"":""sky"",""value"":""turbidy""},{""trait_type"":""sun"",""value"":""normal bright""},{""trait_type"":""clouds"",""value"":""none""},{""trait_type"":""horizon"",""value"":""rock mountain""},{""trait_type"":""midground"",""value"":""beach""},{""trait_type"":""far object"",""value"":""birds""},{""trait_type"":""foreground"",""value"":""dirt road""},{""trait_type"":""near object"",""value"":""woofwoof""}]","[{""address"":""qoQHzaee7FzdivXk4KDjdrAVQwYGFXpDvhdZfrGHqUk"",""share"":50},{""address"":""5Mvb4RGM3uQKbkSYF2EdeaD4yvMQFD6uuyM8M8u5Do9R"",""share"":50}]","[{""uri"":""https://arweave.net/5eb-sthQ-u2SQ8jTN-bT90Da9d67wX1sy5OKCL5dOqE?ext=png"",""type"":""image/png""},{""uri"":""https://arweave.net/QL69nVXCYVontpyrvzIN6q2EYmvj_V0ZhRPEENENznQ?ext=png"",""type"":""image/png""}]"
"[""3vZHVJwTK4fbX2mmfJsTrAkdBieGKy3qnQan87SuWVAB"",""EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ"",""4yMnN8ZDgEVGSFjcGcydsEsxPFUYsnev2vicNA1rS4dH""]","Solsunsets #2139","[0,50,50]","SSUNS","https://arweave.net/47GBT8-cpV_-ky16nIrUDyvUXg8596iPStXZwUk_URQ","[1,1,1]",true,"AnhFQ33ydmLW9it2mjuDQconcE9P3vhd23meuNzYzPXu",true,"EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ","https://explorer.solana.com/address/AnhFQ33ydmLW9it2mjuDQconcE9P3vhd23meuNzYzPXu","Solsunsets #2139","SSUNS","400","Sunset retrowave landscapes on Solana","https://arweave.net/uI8I_vj-xExkVAyhz9gnO8VqR5vFkjL9R2s_7bRj51U?ext=png","Summer of 1988","https://solsunsets.com","Solsunsets","Solsunsets","[{""trait_type"":""sky"",""value"":""green""},{""trait_type"":""sun"",""value"":""eclipsis""},{""trait_type"":""clouds"",""value"":""cirrocumulus""},{""trait_type"":""horizon"",""value"":""arizona""},{""trait_type"":""midground"",""value"":""cristal lake""},{""trait_type"":""far object"",""value"":""big-moon""},{""trait_type"":""foreground"",""value"":""high road""},{""trait_type"":""near object"",""value"":""columns""}]","[{""address"":""qoQHzaee7FzdivXk4KDjdrAVQwYGFXpDvhdZfrGHqUk"",""share"":50},{""address"":""5Mvb4RGM3uQKbkSYF2EdeaD4yvMQFD6uuyM8M8u5Do9R"",""share"":50}]","[{""uri"":""https://arweave.net/uI8I_vj-xExkVAyhz9gnO8VqR5vFkjL9R2s_7bRj51U?ext=png"",""type"":""image/png""},{""uri"":""https://arweave.net/VtOcnZkFVGuHBv3GXrjdCBK9FjtJvIofLpiSIwQ6kVo?ext=png"",""type"":""image/png""}]"
"[""ZBcDSnc4jHiCm3nDBkpm9WxFSJ1KcPt8AaDGBKbkHd2"",""71oMVEDhy3HJjj3tKKp9XzHqQ5NrbzLQySWkmaLC6uDN""]","Metaversol Pass #940","[0,100]","MetaPass","https://arweave.net/8iQ44lnHm5YFaHLJCsNpkh0yn4upFkqSTC1SN8vLtPw","[1,0]",true,"97jTQNNKRteQVLeLo3ygzsXwqske7rw5zGmvvq3pf6mh",true,"71oMVEDhy3HJjj3tKKp9XzHqQ5NrbzLQySWkmaLC6uDN","https://explorer.solana.com/address/97jTQNNKRteQVLeLo3ygzsXwqske7rw5zGmvvq3pf6mh","Metaversol Pass #940","MetaPass",500,"A virtual, infinitely expanding universe.  An augmented reality with deep ties to the real world.  All of it comprised entirely by the ingenuity and creativity of Solana Developers.  In a word: you.","https://www.arweave.net/5Z5JYtq34f9wlBGh0dPFtmlj5YXAyRZ9bSr4Y0mE3cQ?ext=png",,"https://metaversol.com/","Metaversol Pass","Science Fiction Future","[{""trait_type"":""Background"",""value"":""City""},{""trait_type"":""Pass Type"",""value"":""Silver""},{""trait_type"":""Pass ID"",""value"":""0940""},{""trait_type"":""Permitted Count"",""value"":""0250""}]","[{""address"":""71oMVEDhy3HJjj3tKKp9XzHqQ5NrbzLQySWkmaLC6uDN"",""share"":100}]","[{""uri"":""https://www.arweave.net/5Z5JYtq34f9wlBGh0dPFtmlj5YXAyRZ9bSr4Y0mE3cQ?ext=png"",""type"":""image/png"",""cdn"":false}]"
"[""3vZHVJwTK4fbX2mmfJsTrAkdBieGKy3qnQan87SuWVAB"",""EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ"",""4yMnN8ZDgEVGSFjcGcydsEsxPFUYsnev2vicNA1rS4dH""]","Solsunsets #1689","[0,50,50]","SSUNS","https://arweave.net/p1JYTkZfIE-pBipz_yREPigxfex8td6ZrnbKWDSFVW4","[1,1,1]",true,"BnDGqMr6CGCupkC8mDP3iGaUvRLhaCPSVsVX8qHQ63zr",true,"EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ","https://explorer.solana.com/address/BnDGqMr6CGCupkC8mDP3iGaUvRLhaCPSVsVX8qHQ63zr","Solsunsets #1689","SSUNS","400","Sunset retrowave landscapes on Solana","https://arweave.net/SJa-txJevropvH3k3AeGjhewcVQwee2DpuOvEoK_vPs?ext=png","Summer of 1988","https://solsunsets.com","Solsunsets","Solsunsets","[{""trait_type"":""sky"",""value"":""chernobyl""},{""trait_type"":""sun"",""value"":""normal warm""},{""trait_type"":""clouds"",""value"":""stratocumulus""},{""trait_type"":""horizon"",""value"":""radioactive valley""},{""trait_type"":""midground"",""value"":""cristal lake""},{""trait_type"":""far object"",""value"":""birds""},{""trait_type"":""foreground"",""value"":""crag top""},{""trait_type"":""near object"",""value"":""tall grass""}]","[{""address"":""qoQHzaee7FzdivXk4KDjdrAVQwYGFXpDvhdZfrGHqUk"",""share"":50},{""address"":""5Mvb4RGM3uQKbkSYF2EdeaD4yvMQFD6uuyM8M8u5Do9R"",""share"":50}]","[{""uri"":""https://arweave.net/SJa-txJevropvH3k3AeGjhewcVQwee2DpuOvEoK_vPs?ext=png"",""type"":""image/png""},{""uri"":""https://arweave.net/diT0JD67O5NrCOkjEXcxXXD3uTXwv0LkqObtJE0A1s0?ext=png"",""type"":""image/png""}]"
"[""3vZHVJwTK4fbX2mmfJsTrAkdBieGKy3qnQan87SuWVAB"",""EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ"",""4yMnN8ZDgEVGSFjcGcydsEsxPFUYsnev2vicNA1rS4dH""]","Solsunsets #2697","[0,50,50]","SSUNS","https://arweave.net/g9LGzh2I_uHTbHSedMPx8JxAnpjpk-Y9sMKDT1--IG4","[1,1,1]",true,"GNBnHMWY4jb5raMmhF6coKQssBwuokYVYPCr6ncvcjSp",true,"EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ","https://explorer.solana.com/address/GNBnHMWY4jb5raMmhF6coKQssBwuokYVYPCr6ncvcjSp","Solsunsets #2697","SSUNS","400","Sunset retrowave landscapes on Solana","https://arweave.net/JweUaTqwy_Z44HzFubBl0Z6_ZHIMEhm8jFKU_WC7ExA?ext=png","Summer of 1988","https://solsunsets.com","Solsunsets","Solsunsets","[{""trait_type"":""sky"",""value"":""sahara""},{""trait_type"":""sun"",""value"":""normal warm""},{""trait_type"":""clouds"",""value"":""cirrocumulus""},{""trait_type"":""horizon"",""value"":""none""},{""trait_type"":""midground"",""value"":""beach""},{""trait_type"":""far object"",""value"":""ufo""},{""trait_type"":""foreground"",""value"":""crag""},{""trait_type"":""near object"",""value"":""tall grass""}]","[{""address"":""qoQHzaee7FzdivXk4KDjdrAVQwYGFXpDvhdZfrGHqUk"",""share"":50},{""address"":""5Mvb4RGM3uQKbkSYF2EdeaD4yvMQFD6uuyM8M8u5Do9R"",""share"":50}]","[{""uri"":""https://arweave.net/JweUaTqwy_Z44HzFubBl0Z6_ZHIMEhm8jFKU_WC7ExA?ext=png"",""type"":""image/png""},{""uri"":""https://arweave.net/AzvASfm3k6Ik6F1SM5fitfbJGfogiVoidzRVyoWCOPg?ext=png"",""type"":""image/png""}]"
"[""3vZHVJwTK4fbX2mmfJsTrAkdBieGKy3qnQan87SuWVAB"",""EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ"",""4yMnN8ZDgEVGSFjcGcydsEsxPFUYsnev2vicNA1rS4dH""]","Solsunsets #1462","[0,50,50]","SSUNS","https://arweave.net/OlKAZuJ2man4jLMOyEO_0okvot1kkxrTrTZ8gRw55vY","[1,1,1]",true,"8yKHBEteLtFoSenVQgZoftXJkRGdx6BHU3fev5c1yXU4",true,"EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ","https://explorer.solana.com/address/8yKHBEteLtFoSenVQgZoftXJkRGdx6BHU3fev5c1yXU4","Solsunsets #1462","SSUNS","400","Sunset retrowave landscapes on Solana","https://arweave.net/W6s28hspsvhd4MdnyjxnqSb2ikH7XxQhdtwVOAsy4AE?ext=png","Summer of 1988","https://solsunsets.com","Solsunsets","Solsunsets","[{""trait_type"":""sky"",""value"":""purple""},{""trait_type"":""sun"",""value"":""normal bright""},{""trait_type"":""clouds"",""value"":""stratocumulus""},{""trait_type"":""horizon"",""value"":""arizona""},{""trait_type"":""midground"",""value"":""mud""},{""trait_type"":""far object"",""value"":""none""},{""trait_type"":""foreground"",""value"":""palm springs""},{""trait_type"":""near object"",""value"":""columns""}]","[{""address"":""qoQHzaee7FzdivXk4KDjdrAVQwYGFXpDvhdZfrGHqUk"",""share"":50},{""address"":""5Mvb4RGM3uQKbkSYF2EdeaD4yvMQFD6uuyM8M8u5Do9R"",""share"":50}]","[{""uri"":""https://arweave.net/W6s28hspsvhd4MdnyjxnqSb2ikH7XxQhdtwVOAsy4AE?ext=png"",""type"":""image/png""},{""uri"":""https://arweave.net/3Tg60eqk_Iseyeyq-6UOd4iFzBHCoMrtOLd4MT6SgKw?ext=png"",""type"":""image/png""}]"
"[""3vZHVJwTK4fbX2mmfJsTrAkdBieGKy3qnQan87SuWVAB"",""EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ"",""4yMnN8ZDgEVGSFjcGcydsEsxPFUYsnev2vicNA1rS4dH""]","Solsunsets #1825","[0,50,50]","SSUNS","https://arweave.net/3Xv4cNQRSElzQ-pPNTbpNfKPEzalMAAtiJd0xRlt82A","[1,1,1]",true,"CZ7DGcPjD2BcW7ZvQQykQvMtfVTTqL6T6BxGoPcqg2nB",true,"EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ","https://explorer.solana.com/address/CZ7DGcPjD2BcW7ZvQQykQvMtfVTTqL6T6BxGoPcqg2nB","Solsunsets #1825","SSUNS","400","Sunset retrowave landscapes on Solana","https://arweave.net/zQCl4H9SW-l30wDIXQCV0AyFtl_tAXTx652WhN0_e30?ext=png","Summer of 1988","https://solsunsets.com","Solsunsets","Solsunsets","[{""trait_type"":""sky"",""value"":""pink""},{""trait_type"":""sun"",""value"":""micro bright""},{""trait_type"":""clouds"",""value"":""early birds""},{""trait_type"":""horizon"",""value"":""jungle hills""},{""trait_type"":""midground"",""value"":""cristal lake""},{""trait_type"":""far object"",""value"":""rainbow""},{""trait_type"":""foreground"",""value"":""dirt road""},{""trait_type"":""near object"",""value"":""tall grass""}]","[{""address"":""qoQHzaee7FzdivXk4KDjdrAVQwYGFXpDvhdZfrGHqUk"",""share"":50},{""address"":""5Mvb4RGM3uQKbkSYF2EdeaD4yvMQFD6uuyM8M8u5Do9R"",""share"":50}]","[{""uri"":""https://arweave.net/zQCl4H9SW-l30wDIXQCV0AyFtl_tAXTx652WhN0_e30?ext=png"",""type"":""image/png""},{""uri"":""https://arweave.net/Clh4reIw7bahuKptVOrjYwej1irMKFcwmGsYX1NvUWc?ext=png"",""type"":""image/png""}]"
"[""3vZHVJwTK4fbX2mmfJsTrAkdBieGKy3qnQan87SuWVAB"",""EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ"",""4yMnN8ZDgEVGSFjcGcydsEsxPFUYsnev2vicNA1rS4dH""]","Solsunsets #4034","[0,50,50]","SSUNS","https://arweave.net/Mbpy2tXEpIDD7NlZHaieYMrmbYvRu-oKq3hp3pZyEfk","[1,1,1]",true,"9kpjLxo9KbYfSfqhmfQgc9Yh6BHWfxFPtXLjNkaCXer1",true,"EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ","https://explorer.solana.com/address/9kpjLxo9KbYfSfqhmfQgc9Yh6BHWfxFPtXLjNkaCXer1","Solsunsets #4034","SSUNS","400","Sunset retrowave landscapes on Solana","https://arweave.net/e51iMGjnMRnOV4H-Kp0Tr7M9Xi5m7DvRuDCAkQEoRwo?ext=png","Summer of 1988","https://solsunsets.com","Solsunsets","Solsunsets","[{""trait_type"":""sky"",""value"":""blue""},{""trait_type"":""sun"",""value"":""normal bright""},{""trait_type"":""clouds"",""value"":""cirrocumulus""},{""trait_type"":""horizon"",""value"":""industrial valley""},{""trait_type"":""midground"",""value"":""river""},{""trait_type"":""far object"",""value"":""none""},{""trait_type"":""foreground"",""value"":""dirt road""},{""trait_type"":""near object"",""value"":""frens""}]","[{""address"":""qoQHzaee7FzdivXk4KDjdrAVQwYGFXpDvhdZfrGHqUk"",""share"":50},{""address"":""5Mvb4RGM3uQKbkSYF2EdeaD4yvMQFD6uuyM8M8u5Do9R"",""share"":50}]","[{""uri"":""https://arweave.net/e51iMGjnMRnOV4H-Kp0Tr7M9Xi5m7DvRuDCAkQEoRwo?ext=png"",""type"":""image/png""},{""uri"":""https://arweave.net/lCAfSbxP3muwcmQkxtQHPY5_XIGQHxQq66XOIuoOVO0?ext=png"",""type"":""image/png""}]"
"[""5GGp28RmF8j2VqsXe1PZfrDoaPQX87GbKBJMJnRp7FGn"",""AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm"",""BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464"",""H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5""]","enviroPass | Tier 02  #2837","[0,80,10,10]","enviro","https://arweave.net/zIwJ9bPJ6Bah7eKF710tRbpTu66GHvjXDh-1GM27JB8","[1,0,0,0]",true,"4HxwgHXdM9P7GAdpqCe5GjnZNV2CL1jSPwLeybU1c6jt",true,"8ERR2gYrvXcJFuoNAbPRvHXtrJnAXXHgXKkVviwz9R6C","https://explorer.solana.com/address/4HxwgHXdM9P7GAdpqCe5GjnZNV2CL1jSPwLeybU1c6jt","enviroPass | Tier 02  #2837","enviro",1000,"Existing as an NFT, enviro is a customizable art gallery, that can display a wide range of digital media (including other NFTs), still images and streaming video in a variety of settings, ranging from intimate to professional. Built on the cutting edge Unreal Engine 5, enviro features an explorable high-resolution photorealistic 3-dimensional gallery space with adjustable lighting and customizable furniture along with a suite of photography tools.","https://www.arweave.net/046Lt-lBlJk5UknKlUL08xj3ikFnvM1cSYVfYewfhFY?ext=png",,"enviro.art","enviroPass | Tier 02","enviro","[{""trait_type"":""enviroPass"",""value"":""Tier 02""}]","[{""address"":""AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm"",""share"":80},{""address"":""BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464"",""share"":10},{""address"":""H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5"",""share"":10}]","[{""type"":""image/png"",""uri"":""https://www.arweave.net/046Lt-lBlJk5UknKlUL08xj3ikFnvM1cSYVfYewfhFY?ext=png""}]"
"[""3vZHVJwTK4fbX2mmfJsTrAkdBieGKy3qnQan87SuWVAB"",""EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ"",""4yMnN8ZDgEVGSFjcGcydsEsxPFUYsnev2vicNA1rS4dH""]","Solsunsets #4245","[0,50,50]","SSUNS","https://arweave.net/1aUWZCDhjvz_pmuyIaStHUCDLpUjh4x5zxqgNfD24jc","[1,1,1]",true,"A1Xkd82Kd1XY4VZq7veEdLEbFuHGs1hLzJG7gkbtZT5a",true,"EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ","https://explorer.solana.com/address/A1Xkd82Kd1XY4VZq7veEdLEbFuHGs1hLzJG7gkbtZT5a","Solsunsets #4245","SSUNS","400","Sunset retrowave landscapes on Solana","https://arweave.net/5pCb8j8qtoTe8fiJXup1fSBEBIno0RY8M3CLN4Bx7Gw?ext=png","Summer of 1988","https://solsunsets.com","Solsunsets","Solsunsets","[{""trait_type"":""sky"",""value"":""chernobyl""},{""trait_type"":""sun"",""value"":""sahara""},{""trait_type"":""clouds"",""value"":""stratocumulus""},{""trait_type"":""horizon"",""value"":""arizona""},{""trait_type"":""midground"",""value"":""beach""},{""trait_type"":""far object"",""value"":""birds""},{""trait_type"":""foreground"",""value"":""prairie""},{""trait_type"":""near object"",""value"":""cyber ronin""}]","[{""address"":""qoQHzaee7FzdivXk4KDjdrAVQwYGFXpDvhdZfrGHqUk"",""share"":50},{""address"":""5Mvb4RGM3uQKbkSYF2EdeaD4yvMQFD6uuyM8M8u5Do9R"",""share"":50}]","[{""uri"":""https://arweave.net/5pCb8j8qtoTe8fiJXup1fSBEBIno0RY8M3CLN4Bx7Gw?ext=png"",""type"":""image/png""},{""uri"":""https://arweave.net/JgIaclxYDari9yuM4OgbuZ3EQmlBCqjz7lUzPPpKWH8?ext=png"",""type"":""image/png""}]"
"[""3vZHVJwTK4fbX2mmfJsTrAkdBieGKy3qnQan87SuWVAB"",""EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ"",""4yMnN8ZDgEVGSFjcGcydsEsxPFUYsnev2vicNA1rS4dH""]","Solsunsets #3347","[0,50,50]","SSUNS","https://arweave.net/m1DhLqyu0kF391lbSPt-WrtEoQNw7nlmRTpnfpEN97g","[1,1,1]",true,"sYcdZBdAN9YtPiuLmGtMnE1SdUtxZpiMSZHeEqhidjw",true,"EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ","https://explorer.solana.com/address/sYcdZBdAN9YtPiuLmGtMnE1SdUtxZpiMSZHeEqhidjw","Solsunsets #3347","SSUNS","400","Sunset retrowave landscapes on Solana","https://arweave.net/gFZYMJYabdV0rS9UX5bVUCsOnrM-KbzSnYcFkcRTydE?ext=png","Summer of 1988","https://solsunsets.com","Solsunsets","Solsunsets","[{""trait_type"":""sky"",""value"":""cyan""},{""trait_type"":""sun"",""value"":""normal bright""},{""trait_type"":""clouds"",""value"":""cirrocumulus""},{""trait_type"":""horizon"",""value"":""jungle hills""},{""trait_type"":""midground"",""value"":""river""},{""trait_type"":""far object"",""value"":""birds""},{""trait_type"":""foreground"",""value"":""coastal rocks""},{""trait_type"":""near object"",""value"":""palms""}]","[{""address"":""qoQHzaee7FzdivXk4KDjdrAVQwYGFXpDvhdZfrGHqUk"",""share"":50},{""address"":""5Mvb4RGM3uQKbkSYF2EdeaD4yvMQFD6uuyM8M8u5Do9R"",""share"":50}]","[{""uri"":""https://arweave.net/gFZYMJYabdV0rS9UX5bVUCsOnrM-KbzSnYcFkcRTydE?ext=png"",""type"":""image/png""},{""uri"":""https://arweave.net/NvN-7PzXGOkL3LNFnTNaAzOw4YjNwnSeA2E5N_JgveM?ext=png"",""type"":""image/png""}]"
"[""3vZHVJwTK4fbX2mmfJsTrAkdBieGKy3qnQan87SuWVAB"",""EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ"",""4yMnN8ZDgEVGSFjcGcydsEsxPFUYsnev2vicNA1rS4dH""]","Solsunsets #2141","[0,50,50]","SSUNS","https://arweave.net/OXClreh-3NANpG2927iA1hHW33m8dxXTrCgceL-QRwE","[1,1,1]",true,"CXkjnyjq1ZEaWyMeskUMLs7MTs2KxvBhyXsMDDzkGrFs",true,"EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ","https://explorer.solana.com/address/CXkjnyjq1ZEaWyMeskUMLs7MTs2KxvBhyXsMDDzkGrFs","Solsunsets #2141","SSUNS","400","Sunset retrowave landscapes on Solana","https://arweave.net/KUokIqPCG14cbU-3fMp87-8g_5AGx4_n8WTWbwCFI3I?ext=png","Summer of 1988","https://solsunsets.com","Solsunsets","Solsunsets","[{""trait_type"":""sky"",""value"":""green""},{""trait_type"":""sun"",""value"":""normal bright""},{""trait_type"":""clouds"",""value"":""stratocumulus""},{""trait_type"":""horizon"",""value"":""skyline""},{""trait_type"":""midground"",""value"":""lake forest""},{""trait_type"":""far object"",""value"":""birds""},{""trait_type"":""foreground"",""value"":""palm springs""},{""trait_type"":""near object"",""value"":""frens""}]","[{""address"":""qoQHzaee7FzdivXk4KDjdrAVQwYGFXpDvhdZfrGHqUk"",""share"":50},{""address"":""5Mvb4RGM3uQKbkSYF2EdeaD4yvMQFD6uuyM8M8u5Do9R"",""share"":50}]","[{""uri"":""https://arweave.net/KUokIqPCG14cbU-3fMp87-8g_5AGx4_n8WTWbwCFI3I?ext=png"",""type"":""image/png""},{""uri"":""https://arweave.net/brYEDC7XNj-e0X-9rCy2U43H1k6A4m4WkBPf0jjzTa0?ext=png"",""type"":""image/png""}]"
"[""3vZHVJwTK4fbX2mmfJsTrAkdBieGKy3qnQan87SuWVAB"",""EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ"",""4yMnN8ZDgEVGSFjcGcydsEsxPFUYsnev2vicNA1rS4dH""]","Solsunsets #1638","[0,50,50]","SSUNS","https://arweave.net/8h9nlw9YFzaLnnKLSt9_WJo_yFu7y7Q2nv0oZ0YRGc8","[1,1,1]",true,"FLhRjwqcdK6o2yKzq56PfLMbhMTC39KwmXbZwji23DEL",true,"EKx4b376L4XkzKY7eTQ2SzXBwH4NKuHHjKbCpckJQyTZ","https://explorer.solana.com/address/FLhRjwqcdK6o2yKzq56PfLMbhMTC39KwmXbZwji23DEL","Solsunsets #1638","SSUNS","400","Sunset retrowave landscapes on Solana","https://arweave.net/pcKmEnd91_kgaxhu1xsDmgntJ5m84h0MccDtpoLdFbk?ext=png","Summer of 1988","https://solsunsets.com","Solsunsets","Solsunsets","[{""trait_type"":""sky"",""value"":""turbidy""},{""trait_type"":""sun"",""value"":""normal bright""},{""trait_type"":""clouds"",""value"":""early birds""},{""trait_type"":""horizon"",""value"":""rock mountain""},{""trait_type"":""midground"",""value"":""river""},{""trait_type"":""far object"",""value"":""big-moon""},{""trait_type"":""foreground"",""value"":""crag""},{""trait_type"":""near object"",""value"":""motorcycle""}]","[{""address"":""qoQHzaee7FzdivXk4KDjdrAVQwYGFXpDvhdZfrGHqUk"",""share"":50},{""address"":""5Mvb4RGM3uQKbkSYF2EdeaD4yvMQFD6uuyM8M8u5Do9R"",""share"":50}]","[{""uri"":""https://arweave.net/pcKmEnd91_kgaxhu1xsDmgntJ5m84h0MccDtpoLdFbk?ext=png"",""type"":""image/png""},{""uri"":""https://arweave.net/ZCSZqWj1XvcvOLK5NBPIebSilXCx2MJ7LOsNZ4lp_BE?ext=png"",""type"":""image/png""}]"
"[""ALNcW6QDNf7H4iNiTM3FD16LZ4zMGyEeCYQiE1AbCoXk"",""Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h""]","SOLGods 2363","[0,100]","SOLGods","https://arweave.net/L-EamiG83j0zUs3b6OF919txvmHB-loOHPq87Fvjc28","[1,0]",true,"G46jCfGJJvaX169DVDgBR4P6LLQWPCQxeqoa3r2SoPEn",true,"41PLzJby9zqiXjXnY5psHt6zf2X5uaDPiZ5wwRAPKAZM","https://explorer.solana.com/address/G46jCfGJJvaX169DVDgBR4P6LLQWPCQxeqoa3r2SoPEn","SOLGods 2363","SOLGods",500,,"https://www.arweave.net/sxpFUdZ9ox4zmTKV45ufcTq3ptOoLEMIWBUCuhqF22s?ext=png",,,"SOLGods","SOLGods","[{""trait_type"":""Background"",""value"":""Hell""},{""trait_type"":""Code"",""value"":""None""},{""trait_type"":""Back"",""value"":""None""},{""trait_type"":""Character"",""value"":""White""},{""trait_type"":""Torso"",""value"":""Antichrist Chain""},{""trait_type"":""Eyes"",""value"":""Voodoo Left""},{""trait_type"":""Face"",""value"":""None""},{""trait_type"":""Head"",""value"":""None""}]","[{""address"":""Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h"",""share"":92},{""address"":""5yqPJhLcoqDcVLTQjWq5MBGh18R6jv7pVwtacLW32b6J"",""share"":8}]","[{""uri"":""https://www.arweave.net/sxpFUdZ9ox4zmTKV45ufcTq3ptOoLEMIWBUCuhqF22s?ext=png"",""type"":""image/png""}]"
