"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.attributes","metaResult.collection.family","metaResult.collection.name","metaResult.description","metaResult.image","metaResult.name","metaResult.external_url","metaResult.properties.category","metaResult.properties.creators","metaResult.properties.files","metaResult.seller_fee_basis_points","metaResult.symbol"
"[""47qTLBgqnQQvgPgmRVWPc2Lg1vCDzBe31CDN1DGCjfkk"",""AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm"",""BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464"",""H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5""]","enviroPass | Tier 03  #2214","[0,80,10,10]","enviro","https://arweave.net/oKTXzTKOOv7IfSyX5Ginm1WPJ_YfmFmvd0ICisv9n0E","[1,0,0,0]",true,"EhNwYVuq45kHPppxqB2fiL7Fa4GLJhLJsrfqKmK3YUK",true,"ET3LWbEL6q4aUSjsX5xLyWktCwqKh6qsQE5j6TDZtZBY","https://explorer.solana.com/address/EhNwYVuq45kHPppxqB2fiL7Fa4GLJhLJsrfqKmK3YUK","[{""trait_type"":""enviroPass"",""value"":""Tier 03""}]","enviro","enviroPass | Tier 03","Existing as an NFT, enviro is a customizable art gallery, that can display a wide range of digital media (including other NFTs), still images and streaming video in a variety of settings, ranging from intimate to professional. Built on the cutting edge Unreal Engine 5, enviro features an explorable high-resolution photorealistic 3-dimensional gallery space with adjustable lighting and customizable furniture along with a suite of photography tools.","https://www.arweave.net/25fh-Prl_FKExmh1tKv-pvzXPKiU-DCorZFvCd0900A?ext=png","enviroPass | Tier 03  #2214","enviro.art","image","[{""address"":""AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm"",""share"":80},{""address"":""BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464"",""share"":10},{""address"":""H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5"",""share"":10}]","[{""type"":""image/png"",""uri"":""https://www.arweave.net/25fh-Prl_FKExmh1tKv-pvzXPKiU-DCorZFvCd0900A?ext=png""}]",1000,"enviro"
"[""BNaDSC3g8fgf8BebB8ovKefScNKjHotZsTeVJ33LL53h"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""8VAHrpJ9nsqRLaujbzpuCxhAhjsE8wA4ZvUHwx2VZw3y"",""3NpvpHGwHAMYhiuB9GrMXSYqKSj16L2LSHR9czFPWbLu""]","Guild Hero #8149","[0,10,90,0]","GLDHERO","https://bafybeibfdn4y4zigpkse4zk6xhbq7tu5s45qavphca2yash5lhx4r46wqe.ipfs.dweb.link/8884.json","[1,0,0,0]",true,"FgSeoJCdnXqTbTtPZj4Z5JUCGSho3sm17mFb7766UfXE",true,"3NpvpHGwHAMYhiuB9GrMXSYqKSj16L2LSHR9czFPWbLu","https://explorer.solana.com/address/FgSeoJCdnXqTbTtPZj4Z5JUCGSho3sm17mFb7766UfXE","[{""trait_type"":""Rarity Level"",""value"":""Bronze""},{""trait_type"":""Race"",""value"":""Myrrhan""},{""trait_type"":""Gender"",""value"":""Male""},{""trait_type"":""Hair"",""value"":""Junior (Black)""},{""trait_type"":""Eyes"",""value"":""Brown""},{""trait_type"":""Head"",""value"":""none""},{""trait_type"":""Clothing"",""value"":""Mazan Sentry Uniform""},{""trait_type"":""Back"",""value"":""Fur-lined Quiver""},{""trait_type"":""Neck"",""value"":""Bleeding Talisman""},{""trait_type"":""Hands"",""value"":""Scarlet Gloves""},{""trait_type"":""Waist"",""value"":""Sash of Twisting Trees""},{""trait_type"":""Finger (L)"",""value"":""none""},{""trait_type"":""Finger (R)"",""value"":""none""},{""trait_type"":""Feet"",""value"":""Garnished Silver Greaves""},{""trait_type"":""Main-hand Weapon"",""value"":""Morningstar""},{""trait_type"":""Off-hand Weapon"",""value"":""Ashwood Light Shield""},{""trait_type"":""Trinket"",""value"":""none""},{""trait_type"":""Background"",""value"":""Oubliette""}]","Guild Saga","Guild Saga Heroes","A humble member of the Heroes Guild and fated savior of the realm, this Hero is part of Guild Saga’s gen 0 NFT mint.","https://gldhero-production.s3.amazonaws.com/8149.png","Guild Hero #8149",,"image","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":10},{""address"":""8VAHrpJ9nsqRLaujbzpuCxhAhjsE8wA4ZvUHwx2VZw3y"",""share"":90},{""address"":""3NpvpHGwHAMYhiuB9GrMXSYqKSj16L2LSHR9czFPWbLu"",""share"":0}]","[{""uri"":""https://gldhero-production.s3.amazonaws.com/8149.png"",""type"":""image/png""}]",600,"GLDHERO"
"[""CNcoLGiY5QiCYqCXo1uAogZuNCjBXKSRTg738PZxWM5p"",""AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm"",""BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464"",""H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5""]","enviroPass | Tier 01  #5371","[0,80,10,10]","enviro","https://arweave.net/9DiHNFa3zTHAQZV6g_5vXG6uV0ezqr1kmUTTbkbsy2Q","[1,0,0,0]",true,"DxmNUz2ZT3iWkmr8RM1QE6zbU8sTEe3ZxJ5mJ8meZ2K5",true,"9hNfBUaKbXdaT246y8REaUzqgK1bNibV4gLMJGgBRi4g","https://explorer.solana.com/address/DxmNUz2ZT3iWkmr8RM1QE6zbU8sTEe3ZxJ5mJ8meZ2K5","[{""trait_type"":""enviroPass"",""value"":""Tier 01""}]","enviro","enviroPass | Tier 01","Existing as an NFT, enviro is a customizable art gallery, that can display a wide range of digital media (including other NFTs), still images and streaming video in a variety of settings, ranging from intimate to professional. Built on the cutting edge Unreal Engine 5, enviro features an explorable high-resolution photorealistic 3-dimensional gallery space with adjustable lighting and customizable furniture along with a suite of photography tools.","https://www.arweave.net/oDE_yVU4aD5R5-w13QcbcfqeYYdFRAVs4HYnSElz2fM?ext=png","enviroPass | Tier 01  #5371","enviro.art","image","[{""address"":""AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm"",""share"":80},{""address"":""BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464"",""share"":10},{""address"":""H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5"",""share"":10}]","[{""type"":""image/png"",""uri"":""https://www.arweave.net/oDE_yVU4aD5R5-w13QcbcfqeYYdFRAVs4HYnSElz2fM?ext=png""}]",1000,"enviro"
"[""GErEMvGKV2vZB5gzbD1quw8LDQFUKWjGcCBUqRkfV1Uw"",""6JuFMxBrVe9rXwEUynLnZCCcvu5Nz5bpxjKEEJ1nfvk5"",""CFqPEEmLda2YYLWvFcD17Jf1QgidkpQoJf3xUZn7so4R"",""25ybrvkz4RLjivUSArscRL9Gn3FBYeJirSGa5RvrMPe8""]","#26","[0,70,20,10]","","https://arweave.net/s9vO2MdMzhNGgCtgzDsmO0L6tvHBQKWQj9ivq9hjX2M","[1,0,0,0]",true,"8yCenQaBXPR9eCNHaMFSdcb1AFYQmVnYEVoj3JhoQKxe",true,"577nZgxsQCJmFxSsR4fUbixknUDL26GskUWC5anpNLMz","https://explorer.solana.com/address/8yCenQaBXPR9eCNHaMFSdcb1AFYQmVnYEVoj3JhoQKxe","[{""trait_type"":""Color Generators"",""value"":""Four""},{""trait_type"":""Emission Level"",""value"":""Low""},{""trait_type"":""Contrast"",""value"":""Medium""},{""trait_type"":""Surface Type"",""value"":""Transparent""},{""trait_type"":""Anchor"",""value"":""Scattered""},{""trait_type"":""Base Color"",""value"":""Colored""},{""trait_type"":""Tensor Density"",""value"":""Medium""},{""trait_type"":""Orientation"",""value"":""Equal""},{""trait_type"":""Camera"",""value"":""Orthographic""},{""trait_type"":""Z-depth"",""value"":""Amplified""},{""trait_type"":""Dominant Color 1"",""value"":""darkslategray""},{""trait_type"":""Dominant Color 2"",""value"":""maroon""},{""trait_type"":""Dominant Color 3"",""value"":""dimgray""},{""trait_type"":""Dominant Color 4"",""value"":""black""}]","Parametrise","TensorBox","Inspired by the abstract art movement, this project is an experimentation of color, texture and light on an artistic composition of a basic form. Resembling Piet Mondrian’s artwork, this collection uses rectangles as the basic form, adding a third dimension and innovative placement of rectangles to create a 3D canvas. The color, texture and light of these rectangles are then assigned through a parametric approach. The result is a collection of 1000 TensorBoxes with unique composition and some mesmerizing compositions.","https://www.arweave.net/WFDBDLcrHDOvW_TfNUSoWVsZGAuD2LlaEoO0mZXgWDY?ext=png","#26",,"image","[{""address"":""6JuFMxBrVe9rXwEUynLnZCCcvu5Nz5bpxjKEEJ1nfvk5"",""share"":70},{""address"":""CFqPEEmLda2YYLWvFcD17Jf1QgidkpQoJf3xUZn7so4R"",""share"":20},{""address"":""25ybrvkz4RLjivUSArscRL9Gn3FBYeJirSGa5RvrMPe8"",""share"":10}]","[{""type"":""image/png"",""uri"":""https://www.arweave.net/WFDBDLcrHDOvW_TfNUSoWVsZGAuD2LlaEoO0mZXgWDY?ext=png""}]",500,""
"[""PXRzehgVwbtzoUoB4p2rw2g2LvH8NbmxakdTMjg13Cm""]","Pixel Racers Engine #4959","[100]","PXRE","https://arweave.net/-cGPpBB9aFwdbuuF3mvrUWBnlbFHlqsfgBS2EfHarNg","[1]",true,"4fqPHMJudv1YW6FiJ2EJuLnzAtYyhrEb3yBv62C6hNzt",false,"PXRzehgVwbtzoUoB4p2rw2g2LvH8NbmxakdTMjg13Cm","https://explorer.solana.com/address/4fqPHMJudv1YW6FiJ2EJuLnzAtYyhrEb3yBv62C6hNzt","[{""trait_type"":""Acceleration"",""value"":""Level 1""},{""trait_type"":""Top Speed"",""value"":""Level 1""},{""trait_type"":""Handling"",""value"":""Level 6""},{""trait_type"":""Zone 1"",""value"":""Level 2""},{""trait_type"":""Zone 2"",""value"":""Level 1""},{""trait_type"":""Zone 3"",""value"":""Level 1""}]","Pixel Racers","Pixel Racers Gen1 Engines","Pixel Racers is an NFT collection and gaming ecosystem on the Solana blockchain.","https://www.arweave.net/DpGwkmiOaQifTkUa6-UgiBTGT2tN_3BHNmBCZLdEqdc","Pixel Racers Engine #4959","https://pixelracers.io","image","[{""address"":""PXRzehgVwbtzoUoB4p2rw2g2LvH8NbmxakdTMjg13Cm"",""share"":100}]","[{""uri"":""https://pixelracers-cars-gen1.s3.us-east-2.amazonaws.com/89c3777b-d3b7-4764-953f-16eb539abe61.png"",""type"":""image/png"",""cdn"":true}]",0,"PXRE"
"[""AFW3EJSbVep5uG643Qk7JLyRR2W5PVK39ECZrKBzkBP3"",""8Ry67jghLX6pPbeuSPwwVC6CtUKSCzLD7qPmFRjfxMVX"",""F7qwrQUPHtFtiVRnzTYoLLegH4rp6xGMpSE6WAjSjX1Y"",""8YAV56ALVtYnhUAATGSkRkNobscesVmYc7y3rirbzhjc"",""4hobgcu2fJfXr3ddvZ443ohVc6u4d5serwbK46Q9V4uj""]","NFTab #5406","[0,20,24,16,40]","LSD","https://www.arweave.net/qbY5xRd5lsTvf8B-j5OHFmR01q2LL-wfXGIlEfx6sYk?ext=json","[1,0,0,0,0]",true,"5d4Xt3hTAGcZEeSwJH1JtQHUQkzLfZivK4LceDee3W8K",true,"HEsLLYHPvzLqNDHN78p6YxtgCFhX5SbvHvVf8FZwDWzE","https://explorer.solana.com/address/5d4Xt3hTAGcZEeSwJH1JtQHUQkzLfZivK4LceDee3W8K","[{""trait_type"":""Tab Family"",""value"":""Geometric""},{""trait_type"":""Collection"",""value"":""NFTabs""},{""trait_type"":""Trip Status"",""value"":""Tab""},{""trait_type"":""Trip Effect"",""value"":""None""},{""trait_type"":""Verified NFT"",""value"":""Verified Collection""},{""trait_type"":""Head Accessories "",""value"":""Party Hat""},{""trait_type"":""Sun"",""value"":""Flower""},{""trait_type"":""Moon"",""value"":""UFO""},{""trait_type"":""Mountain"",""value"":""Volcano""},{""trait_type"":""Vehicle"",""value"":""Bicycle""},{""trait_type"":""Biker"",""value"":""Hippie""},{""trait_type"":""Mouth Accessories"",""value"":""None""},{""trait_type"":""Eye Accessories"",""value"":""3D Glasses""}]",,,,"https://www.arweave.net/DwsUlAN7T2ITYAVG-WDRQUj6NmjSVyFC0BytsUzBz00?ext=png","NFTab #5406",,,"[{""address"":""8Ry67jghLX6pPbeuSPwwVC6CtUKSCzLD7qPmFRjfxMVX"",""share"":20},{""address"":""F7qwrQUPHtFtiVRnzTYoLLegH4rp6xGMpSE6WAjSjX1Y"",""share"":24},{""address"":""8YAV56ALVtYnhUAATGSkRkNobscesVmYc7y3rirbzhjc"",""share"":16},{""address"":""4hobgcu2fJfXr3ddvZ443ohVc6u4d5serwbK46Q9V4uj"",""share"":40}]","[{""uri"":""https://s3-eu-west-1.amazonaws.com/nftabs/production/tokens/17865/images/original/17865.png?1643851676"",""type"":""image/png""}]",800,"LSD"
"[""AJiz3bAw2yt1UbnJmdyJAFk84GnWqyxfTgBrWK7nBqBM"",""FTg8WVz5wwPPKXb7UjbKaZ1YwW1o2iHEC5ig9wvJwtWJ"",""Gg2tLgfoyCWonNs4eBfmCKCQdtmT4mxPZDYvJXiZiZXJ""]","Baby Zilla #1570","[0,100,0]","","https://arweave.net/LxfO15-9jGIgbzHNQDvuNpa8v3JbhbxC29nntDan_oU","[1,0,0]",true,"FQVJR5MxdPQa4p3LTQgPf3vvVLuQzPU3DKwEBdG9qC1P",true,"htchpFEEJiCV8xvn6wxK5dxmTKvF8az99gQKscSBpta","https://explorer.solana.com/address/FQVJR5MxdPQa4p3LTQgPf3vvVLuQzPU3DKwEBdG9qC1P","[{""trait_type"":""Baby Zilla"",""value"":""Primate""},{""trait_type"":""Background"",""value"":""Red""},{""trait_type"":""Skin"",""value"":""Original""},{""trait_type"":""Eyes"",""value"":""Left Blue""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Item"",""value"":""None""},{""trait_type"":""Hat"",""value"":""None""},{""trait_type"":""Eyewear"",""value"":""None""},{""trait_type"":""Costume"",""value"":""Diver""},{""trait_type"":""Clothes"",""value"":""None""}]","Zillaz","Baby Zillaz","Collection of 4848 baby Zillaz. Offsprings of the kings of all the monsters (Genesis Zillaz) living on the Solana blockchain.","https://www.arweave.net/NlafzS8e0g8FWDgYXWjyLhR8YcLhhSeE4NEBQ5rgzyk?ext=png","Baby Zilla #1570","https://zillaz.net/","image","[{""address"":""6f9M3FstMWMaUYNytpygYjeMrToj7RHqk5NVdrZCaDkM"",""share"":0},{""address"":""FTg8WVz5wwPPKXb7UjbKaZ1YwW1o2iHEC5ig9wvJwtWJ"",""share"":100},{""address"":""Gg2tLgfoyCWonNs4eBfmCKCQdtmT4mxPZDYvJXiZiZXJ"",""share"":0}]","[{""uri"":""https://www.arweave.net/NlafzS8e0g8FWDgYXWjyLhR8YcLhhSeE4NEBQ5rgzyk?ext=png"",""type"":""image/png""}]",800,""
"[""9nByX55nJFpPjxT1JoXY3vr7knPDd1F8Lg17AiR4FdeY"",""8Ry67jghLX6pPbeuSPwwVC6CtUKSCzLD7qPmFRjfxMVX"",""F7qwrQUPHtFtiVRnzTYoLLegH4rp6xGMpSE6WAjSjX1Y"",""8YAV56ALVtYnhUAATGSkRkNobscesVmYc7y3rirbzhjc"",""4hobgcu2fJfXr3ddvZ443ohVc6u4d5serwbK46Q9V4uj""]","NFTab #294","[0,20,24,16,40]","LSD","https://www.arweave.net/Ksv_P_9Z1hnk8nu2-A7v95_3YQ82aeHDMs0IwMmrFXM?ext=json","[1,0,0,0,0]",true,"CVMPs7juM6CmtXWntpx27dkNpF5BjAYx1AhQj849kam",true,"HEsLLYHPvzLqNDHN78p6YxtgCFhX5SbvHvVf8FZwDWzE","https://explorer.solana.com/address/CVMPs7juM6CmtXWntpx27dkNpF5BjAYx1AhQj849kam","[{""trait_type"":""Tab Family"",""value"":""Geometric""},{""trait_type"":""Collection"",""value"":""NFTabs""},{""trait_type"":""Trip Status"",""value"":""Tab""},{""trait_type"":""Trip Effect"",""value"":""None""},{""trait_type"":""Verified NFT"",""value"":""Verified Collection""},{""trait_type"":""Head Accessories "",""value"":""Solana Hat""},{""trait_type"":""Sun"",""value"":""Flower""},{""trait_type"":""Moon"",""value"":""UFO""},{""trait_type"":""Mountain"",""value"":""Snow""},{""trait_type"":""Vehicle"",""value"":""Bicycle""},{""trait_type"":""Biker"",""value"":""Hippie""},{""trait_type"":""Mouth Accessories"",""value"":""Weed Pen""},{""trait_type"":""Eye Accessories"",""value"":""Hypno Glasses""}]",,,,"https://www.arweave.net/K6FypYAkf3G476QIeevCOklIS4XH8f8b8VKqeed650w?ext=png","NFTab #294",,,"[{""address"":""8Ry67jghLX6pPbeuSPwwVC6CtUKSCzLD7qPmFRjfxMVX"",""share"":20},{""address"":""F7qwrQUPHtFtiVRnzTYoLLegH4rp6xGMpSE6WAjSjX1Y"",""share"":24},{""address"":""8YAV56ALVtYnhUAATGSkRkNobscesVmYc7y3rirbzhjc"",""share"":16},{""address"":""4hobgcu2fJfXr3ddvZ443ohVc6u4d5serwbK46Q9V4uj"",""share"":40}]","[{""uri"":""https://s3-eu-west-1.amazonaws.com/nftabs/production/tokens/18883/images/original/18883.png?1643849123"",""type"":""image/png""}]",800,"LSD"
"[""PXRzehgVwbtzoUoB4p2rw2g2LvH8NbmxakdTMjg13Cm""]","Pixel Racers Engine #16713","[100]","PXRE","https://arweave.net/qPlRPs0n0dHfCs-TQaB95xyKjFNFXJcQ6-8zRI9jjdA","[1]",true,"HBwU4jGwXwhwwX5W42enMaPwJ1Z7QvtaGkSjDqNKV6zx",false,"PXRzehgVwbtzoUoB4p2rw2g2LvH8NbmxakdTMjg13Cm","https://explorer.solana.com/address/HBwU4jGwXwhwwX5W42enMaPwJ1Z7QvtaGkSjDqNKV6zx","[{""trait_type"":""Acceleration"",""value"":""Level 3""},{""trait_type"":""Top Speed"",""value"":""Level 1""},{""trait_type"":""Handling"",""value"":""Level 1""},{""trait_type"":""Zone 1"",""value"":""Level 1""},{""trait_type"":""Zone 2"",""value"":""Level 1""},{""trait_type"":""Zone 3"",""value"":""Level 1""}]","Pixel Racers","Pixel Racers Gen1 Engines","Pixel Racers is an NFT collection and gaming ecosystem on the Solana blockchain.","https://www.arweave.net/SicwXMFKDcQvWNSDLWL0fm1wbguk-CRtPkThu19t6Ek","Pixel Racers Engine #16713","https://pixelracers.io","image","[{""address"":""PXRzehgVwbtzoUoB4p2rw2g2LvH8NbmxakdTMjg13Cm"",""share"":100}]","[{""uri"":""https://pixelracers-cars-gen1.s3.us-east-2.amazonaws.com/e4ca940a-2f7c-4cd8-a8c2-7b0e36f9d003.png"",""type"":""image/png"",""cdn"":true}]",0,"PXRE"
"[""E595MwLgTJapMQjcnsQ4bARCVF2wBMxhWb8YPciyHKaz"",""bpb5URRKdvMxM3TuAoaxPJT9JWbdx9ksG2VrxHuUSPn""]","Balloon #2325","[0,100]","BV","https://bafybeih5i7lktx6o7rjceuqvlxmpqzwfh4nhr322wq5hjncxbicf4fbq2e.ipfs.dweb.link/2325.json","[1,0]",true,"FjNpvBoaCNW1uXyoZ4ViDXYT7mx4wCuz8xENk2SawLW1",true,"ADdb1UdcyJGeQ8iy5TjfjyDqLyjYuW3ETE63KmEAvN1T","https://explorer.solana.com/address/FjNpvBoaCNW1uXyoZ4ViDXYT7mx4wCuz8xENk2SawLW1","[{""trait_type"":""Background"",""value"":""Blue""},{""trait_type"":""Body"",""value"":""Beige Tech Fleece""},{""trait_type"":""Balloon"",""value"":""Blue""},{""trait_type"":""Head"",""value"":""French Fries""},{""trait_type"":""Face"",""value"":""Cinco De Mayo""}]","Balloonsville","Balloons","A community-driven NFT project that brings control back to holders on the Solana Blockchain.","https://bafybeidx6bahllcae7n757kmox66ejw5thwedrfvskphqwkr46uvr2u4bq.ipfs.dweb.link/2325.png?ext=png","Balloon #2325","","image","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":10},{""address"":""4Lr21mYUtoXC6xcxDL4jwEaJ3um8v91i3Q47K6fwaTDg"",""share"":90}]","[{""uri"":""https://bafybeidx6bahllcae7n757kmox66ejw5thwedrfvskphqwkr46uvr2u4bq.ipfs.dweb.link/2325.png?ext=png"",""type"":""image/png""}]",600,"BV"
"[""5ix9LBQBLQdRZ2wQkxGA2dN4brrkNs4dZ5P72TZB9eip"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""HFj45K3eofwi1jegZBASUrS5nLMUprMhWhSZdkGKmihU"",""3nvBhKcMqpg26nhtw76ZioZ21PbhtKQZwu3YsGUoHkki"",""C3JYUBkTKqyHnybzeBFzYwrsnwdj6ZRGfw97Wc3wjzNg""]","EPOCH #500","[0,10,50,20,20]","EPOCH","https://bafybeie24swo763gg7usm2pmreshf57lfvyxaaxhfelj4r7jx6s7giwcvy.ipfs.dweb.link/500.json","[1,0,0,0,0]",true,"EU7BRTUDBJpisqxBvwy2E8KzUdbehSi9LKEkkZqd3jQf",true,"CEMnY2UPQJUZ9MahFcbogQFUfFzoHVFgSZpJmZW5WpH6","https://explorer.solana.com/address/EU7BRTUDBJpisqxBvwy2E8KzUdbehSi9LKEkkZqd3jQf","[{""trait_type"":""seed"",""value"":1638197778639},{""trait_type"":""cluster_type"",""value"":2},{""trait_type"":""neighborhood_assignment"",""value"":4},{""trait_type"":""scheduled_rotation"",""value"":1},{""trait_type"":""turbine_depth_minimum"",""value"":3},{""trait_type"":""turbine_depth_maximum"",""value"":5},{""trait_type"":""node_styles"",""value"":9},{""trait_type"":""colors"",""value"":""palette471""}]","Playground on Solana","Epochs Collection","Epochs, generative art created by the renowned artist Eko33, are inspired by the concept of time and the Solana validator schedule.","https://bafybeiai2x4q2la3ja3ivdexlpnhnap77lgoxncmrfx4ipqkehvigkldki.ipfs.dweb.link/500.png","Epoch #846",,"image","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":10},{""address"":""HFj45K3eofwi1jegZBASUrS5nLMUprMhWhSZdkGKmihU"",""share"":50},{""address"":""3nvBhKcMqpg26nhtw76ZioZ21PbhtKQZwu3YsGUoHkki"",""share"":20},{""address"":""C3JYUBkTKqyHnybzeBFzYwrsnwdj6ZRGfw97Wc3wjzNg"",""share"":20}]","[{""uri"":""image.png"",""type"":""image/png""},{""uri"":""https://bafybeiai2x4q2la3ja3ivdexlpnhnap77lgoxncmrfx4ipqkehvigkldki.ipfs.dweb.link/500.png"",""type"":""image/png""}]",500,"EPOCH"
"[""DJxio3oAigDR9qWAe223cBAPuP1mxfxGA5pheZe1Kgki"",""GfVd4BmWjQRhVpXc58h8B6xevuLkaAWd7wRK7YkWycP4""]","Project Dolphin #274","[0,100]","PDLPHN","https://metadata.getdolphin.io/json/274.json","[1,0]",true,"ChbduVsryJUXbFrUFR4jhCMzb2nJDV2tdNYAB1JwamZM",true,"FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE","https://explorer.solana.com/address/ChbduVsryJUXbFrUFR4jhCMzb2nJDV2tdNYAB1JwamZM","[{""trait_type"":""Background"",""value"":""Black""},{""trait_type"":""Pass"",""value"":""Dark Sunburst""},{""trait_type"":""Text"",""value"":""Trust""},{""trait_type"":""Message"",""value"":""none""}]","PDLPHN","Dolphin Holder Pass","Project Dolphin Holder Pass gives you access to the Dolphin tools","https://images.getdolphin.io/nft/holderpass274.png","Project Dolphin #274","https://getdolphin.io","image","[{""address"":""GfVd4BmWjQRhVpXc58h8B6xevuLkaAWd7wRK7YkWycP4"",""share"":100}]","[{""uri"":""https://images.getdolphin.io/nft/holderpass274.png"",""type"":""image/png""}]",750,"PDLPHN"
"[""7i7ccNyKrrpfeJ1sJWi5f6d1uTDHd8r8So6LnPouWpf3"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""J6vK7PmyNX3tBbxzKz6TywKpoExitFunBYRj6VEDCaRj"",""Cj9SJuukKUGn7ouatiyeM37eD8uA9fCdC3xobc8w1KXr""]","Sovanian Egg #3501","[0,10,72,18]","Sovana Egg","https://bafybeigf7tmlndzjgq6l7p543od5vh2jdt46yznx2xhqwg6b737eoeajfq.ipfs.dweb.link/3501.json","[1,0,0,0]",true,"451wREYiXuibSifF3BVLvz8vo3ASHMafJgSZQUoiNuGQ",true,"HnoDZ8EsbnGYAappr62Y2p2evsB4PLHCdB1gRo2mpP77","https://explorer.solana.com/address/451wREYiXuibSifF3BVLvz8vo3ASHMafJgSZQUoiNuGQ","[{""value"":""Electric"",""trait_type"":""Egg""},{""value"":""Nature"",""trait_type"":""Incubator""},{""value"":""Snow"",""trait_type"":""Climate""},{""value"":""Glitch"",""trait_type"":""Energy""},{""value"":""None"",""trait_type"":""OG Symbol""}]",,,"Sovana is an interoperable metaverse where we bring utility to NFTs. Our vision is to intergrate and drive value to existing NFTs and communities.","https://bafybeia6nhylnj7k6borxhgin5izzei5eqawedrfvdc5lyoceyytlexv5i.ipfs.dweb.link/3501.gif?ext=gif","Sovanian Egg #3501","","image","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":10},{""address"":""J6vK7PmyNX3tBbxzKz6TywKpoExitFunBYRj6VEDCaRj"",""share"":72},{""address"":""Cj9SJuukKUGn7ouatiyeM37eD8uA9fCdC3xobc8w1KXr"",""share"":18}]","[{""uri"":""https://bafybeia6nhylnj7k6borxhgin5izzei5eqawedrfvdc5lyoceyytlexv5i.ipfs.dweb.link/3501.gif?ext=gif"",""type"":""image/gif""}]",800,"Sovana Egg"
"[""Hvq6K3BvaBZFQyYYoc3gxwh4ahFWvbLVuTp6UWgfXfMT"",""2DKEWhzzkpcMQaRdGU8ccptsLhVP94Z6XXkSuvQV5QcC""]","Pixel Racers #3236","[0,100]","PXR","https://arweave.net/yzvO6y90XqCgDtspU-og88ownob0qQTc6wpBoP9lOQA","[1,0]",true,"41FDJr2oHNsjoUppPABj9We5iQeFFJukzTAkRRBWcUzF",true,"2DKEWhzzkpcMQaRdGU8ccptsLhVP94Z6XXkSuvQV5QcC","https://explorer.solana.com/address/41FDJr2oHNsjoUppPABj9We5iQeFFJukzTAkRRBWcUzF","[{""trait_type"":""Background"",""value"":""Evergreen Stars""},{""trait_type"":""Body Type"",""value"":""Muscle""},{""trait_type"":""Body Color"",""value"":""Red""},{""trait_type"":""Body Stripe"",""value"":""None""},{""trait_type"":""Window Color"",""value"":""White""},{""trait_type"":""Wheel Type"",""value"":""Amplification""},{""trait_type"":""Wheel Color"",""value"":""Gray""},{""trait_type"":""Trail"",""value"":""Green""}]","Pixel Racers","Pixel Racers Gen1","Pixel Racers is an NFT collection and gaming ecosystem on the Solana blockchain.","https://www.arweave.net/2IdHMRg6y5nR7rjOjk9yVIY-ebTOC3rFMBU68GmngJA","Pixel Racers #3236","https://pixelracers.io","image","[{""address"":""2DKEWhzzkpcMQaRdGU8ccptsLhVP94Z6XXkSuvQV5QcC"",""share"":100}]","[{""uri"":""https://pxr-cars-gen1.s3.us-east-2.amazonaws.com/c98e77e6-5690-4bd0-8c49-d53ffd7d85bc.png"",""type"":""image/png"",""cdn"":true}]",0,"PXR"
