"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.name","metaResult.symbol","metaResult.description","metaResult.seller_fee_basis_points","metaResult.external_url","metaResult.attributes","metaResult.collection.name","metaResult.collection.family","metaResult.properties.files","metaResult.properties.category","metaResult.properties.maxSupply","metaResult.properties.creators","metaResult.image"
"[""9doSyLpnDtAB4R1CVmKjwqUWP6oJ8huB1SSJksthYPS""]","SolSoul-00035","[100]","","https://arweave.net/xcueZh8ZF9sJN0QZ5NbyMXu2TFHmfejzJVROXSjqENo","[1]",false,"BzG7DGxdUdEj1ikrjhoPDbeUBdqHiGLrmQ29DcanZLzC",false,"9doSyLpnDtAB4R1CVmKjwqUWP6oJ8huB1SSJksthYPS","https://explorer.solana.com/address/BzG7DGxdUdEj1ikrjhoPDbeUBdqHiGLrmQ29DcanZLzC","SolSoul-00035","","10,000 uniquely generated, cute and collectible pixel art souls with proof of ownership stored on the Solana blockchain.",500,"https://solsoulsnft.com/","[{""trait_type"":""Background"",""value"":""Cross""},{""trait_type"":""Body"",""value"":""Base White""},{""trait_type"":""Cheeks"",""value"":""Red""},{""trait_type"":""Eyes"",""value"":""Red""},{""trait_type"":""Mouth"",""value"":""Lipstick""},{""trait_type"":""Glasses"",""value"":""Hipster Blue""},{""trait_type"":""Hands"",""value"":""None""},{""trait_type"":""Hair/Hat"",""value"":""None""}]","Sol Souls","Sol Souls","[{""uri"":""https://arweave.net/xXRQq-uPx_eNt5mbKHhW9jlcHyTf2r-R8nf1x72lyKo"",""type"":""image/png""}]","image",1,"[{""address"":""9doSyLpnDtAB4R1CVmKjwqUWP6oJ8huB1SSJksthYPS"",""share"":100}]","https://arweave.net/xXRQq-uPx_eNt5mbKHhW9jlcHyTf2r-R8nf1x72lyKo"
"[""4dtVSCMTURF2Kv5QKg9nrJpjN4v8rjGZeJFoQjVW2u1T"",""CsSSNshZ3dxazCFdXxwN7899GW5UyyBz6gMAKC8BdT8z""]","Citizen Card #1788","[0,100]","PRTLCC","https://ipfs.io/ipfs/QmUzYKiqvhPUwYDga4q4RxdkAqTGWarXUAqLdLrCPe9muG","[1,0]",true,"6pvxbRoW7omoTVCvQgrbc5x7PWCHxWhMy92YPdQ9VNp5",true,"CQPpMXLyMyNtd16mvgnnNbWdDEdSfeLnVttH3VR5EdRT","https://explorer.solana.com/address/6pvxbRoW7omoTVCvQgrbc5x7PWCHxWhMy92YPdQ9VNp5","Citizen Card #1788","PRTLCC","Portals 'Genesis' Citizen Card",500,,"[{""trait_type"":""Card Type"",""value"":""Genesis""},{""trait_type"":""Card Number"",""value"":""1788""}]","Portals","Portals Citizen Cards","[{""url"":""https://ipfs.io/ipfs/Qmd31K7on1bcfut9Dd7oabWkmZ4DXod4MAsQkoi7mKM72V"",""type"":""image/png""}]",,,"[{""address"":""CsSSNshZ3dxazCFdXxwN7899GW5UyyBz6gMAKC8BdT8z"",""share"":100}]","https://ipfs.io/ipfs/Qmd31K7on1bcfut9Dd7oabWkmZ4DXod4MAsQkoi7mKM72V"
"[""BU9nrGtJcAnCtemcc8x4fSufscpbadsSXw2DgCVtG3Bn"",""skU11A6Br8HjAWgwFScGgsqzSyG7qQir4AinHa94pRf""]","Celebration","[99,1]","SKULL","https://arweave.net/RA9HNXr6wV6Vx7eMYk9YqnPI1ynLZ8AzdaSgf0rjNzE","[0,1]",false,"EeypoS4wJvoZo1EYhKmX4CmHewetwsdJzBtjqpVFa9hD",false,"skU11A6Br8HjAWgwFScGgsqzSyG7qQir4AinHa94pRf","https://explorer.solana.com/address/EeypoS4wJvoZo1EYhKmX4CmHewetwsdJzBtjqpVFa9hD","Celebration","SKULL","Notes from the artist: ""Hi, my name is James Johnson. This is my derivative for the Skeleton Crew 31 Days of airdrops. The style I used for this piece is cross-hatching. I hope you guys like it and Happy Halloween!""",800,"https://skeletoncrew.rip/airdrops/20","[{""trait_type"":""ARTIST"",""value"":""James Johnson""}]",,,"[{""uri"":""https://www.arweave.net/y41nC81RnwlXSEF0-LDBDai455bKED8ZriBXBy9Q-2w?ext=png"",""type"":""image/png""}]","image",,"[{""address"":""BU9nrGtJcAnCtemcc8x4fSufscpbadsSXw2DgCVtG3Bn"",""share"":99},{""address"":""skU11A6Br8HjAWgwFScGgsqzSyG7qQir4AinHa94pRf"",""share"":1}]","https://www.arweave.net/y41nC81RnwlXSEF0-LDBDai455bKED8ZriBXBy9Q-2w?ext=png"
"[""9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F""]","SMB #3483","[100]","SMB","https://arweave.net/hTv9omjjK8tCXgLOlBKkJOVnoWrp9Mvxjwu3qvHIvrU","[1]",true,"8WfehvCGwFxXbAShS9h79Uu9XRTfted4fxi2EQW9ii3z",true,"9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F","https://explorer.solana.com/address/8WfehvCGwFxXbAShS9h79Uu9XRTfted4fxi2EQW9ii3z","SMB #3483","SMB","SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.",600,"https://solanamonkey.business/","[{""trait_type"":""Attributes Count"",""value"":2},{""trait_type"":""Type"",""value"":""Orange""},{""trait_type"":""Clothes"",""value"":""Red Shirt""},{""trait_type"":""Ears"",""value"":""None""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Eyes"",""value"":""None""},{""trait_type"":""Hat"",""value"":""Roman Helmet""}]","SMB Gen2","SMB","[{""uri"":""https://arweave.net/dVtHAOWSoLpKKupI9WPg3_JZwOzL6g5cJjku1V6ev0I"",""type"":""image/png""},{""uri"":""https://cdn.solanamonkey.business/gen2/3483.png"",""type"":""image/png"",""cdn"":true}]","image",,"[{""address"":""9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F"",""verified"":true,""share"":100}]","https://arweave.net/dVtHAOWSoLpKKupI9WPg3_JZwOzL6g5cJjku1V6ev0I"
"[""3Cqsh21oYAMMik1pye8CQbGDSe1qM64wpgv2JWHJEbci"",""B7D1hSkGcC5DwAL2xrBuuhs7GujcoHGTcZgPgyYH7vdp""]","SolCities Genesis #8660","[0,100]","SCG","https://arweave.net/Xt3cjjMsn9YLoNnisSKjoAFDdgHGp8xVx1PO3lEHv_M","[1,0]",true,"E5fVc2oPqY9K9YR6cEGU8kBeCZDnS2YvfGY9qdZq5kmL",true,"B7D1hSkGcC5DwAL2xrBuuhs7GujcoHGTcZgPgyYH7vdp","https://explorer.solana.com/address/E5fVc2oPqY9K9YR6cEGU8kBeCZDnS2YvfGY9qdZq5kmL","SolCities Genesis #8660","SCG","9,999 levitating 3D cities ready to expand, conquer and defend into the metaverse",550,"https://www.solcities.co/","[{""trait_type"":""Atmosphere"",""value"":""Hope""},{""trait_type"":""Underground"",""value"":""Silver Mystic Water""},{""trait_type"":""Land"",""value"":""Dusk Solgard""},{""trait_type"":""Air"",""value"":""Bubble Gum Zeppelin""},{""trait_type"":""Resources"",""value"":""Water""}]","SolCities","SolCities",,,,"[{""address"":""B7D1hSkGcC5DwAL2xrBuuhs7GujcoHGTcZgPgyYH7vdp"",""share"":100}]","https://www.arweave.net/M_iDc2iZV6eu43-ON53JdcYIvtEz6K0uqpSrK76oObg?ext=png"
"[""DnP3GRVqtR9vjxMZH4PcFuGZ4ZqhbNqoGzJuTrHACK6f"",""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B""]","Grim #782","[0,20,28,26,26]","GRIM","https://arweave.net/Tw0H-l-H1khD2ne_QxMmW6yzYlnj76jhzZTBiP6aeYQ","[1,0,0,0,0]",true,"2oGhX6oJ8dXdNjvcnmDbSZNYcq8Xa8hWEP8e9ts4S4t5",true,"Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf","https://explorer.solana.com/address/2oGhX6oJ8dXdNjvcnmDbSZNYcq8Xa8hWEP8e9ts4S4t5","Grim #782","GRIM","The Grim Syndicate is a collection of 10,000 generated Grims that do the dirty work of playing afterlife janitors across all planes of existence; in fetching those stubborn Souls who vacate their living vessels but aren’t ready to move on to the Ethereal Realm. What you call a haunting, these Reaper Agents call “all in a day’s work”.",500,"https://grimsyndicate.com","[{""trait_type"":""Background"",""value"":""Aqua""},{""trait_type"":""Arsenal Back"",""value"":""None""},{""trait_type"":""Base"",""value"":""Gray - Lockjaw""},{""trait_type"":""Outfit"",""value"":""None""},{""trait_type"":""Outerwear"",""value"":""None""},{""trait_type"":""Decoration"",""value"":""None""},{""trait_type"":""Nose"",""value"":""Double-Barrel""},{""trait_type"":""Arsenal Front"",""value"":""None""},{""trait_type"":""Eyes"",""value"":""Glasses (Round)""},{""trait_type"":""Headwear"",""value"":""Viking's Helmet""},{""trait_type"":""ID"",""value"":782},{""trait_type"":""Rank"",""value"":9625}]","Grim Syndicate","Grim Syndicate","[{""uri"":""https://www.arweave.net/ZWYf4ShFap1WQDFa6nNAe5KckzLlCMy-I4iy-Fz9tyc?ext=png"",""type"":""image/png""}]",,,"[{""address"":""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""share"":20},{""address"":""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""share"":28},{""address"":""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""share"":26},{""address"":""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""share"":26}]","https://www.arweave.net/ZWYf4ShFap1WQDFa6nNAe5KckzLlCMy-I4iy-Fz9tyc?ext=png"
"[""MBMbdocXHzZ8Lj6Wi9dSA5Kz88hzw8XF4Fi66UkN9fP"",""2NfSe59YAJLDEGMUPAkFRLTMpkXWxa5sTfxmK3YSC3h7"",""CKVT4cxMuAS8Hgdk2gCYW5LMfMo1pMVgKFmKpj9Ye5wi"",""BkyFQyti1yPZ4rdzC6B7Bf6NNVLfZko1e9r8KZpAzFh""]","ChickenTribe #732","[0,50,25,25]","CHKN","https://arweave.net/jzr0qmoMYZYAOD8WZmhUNcJF21BK-rtTdfYrjHaInCc","[1,0,0,0]",true,"2ox45GxvrcDRqj3FyodSA1HQByafTdfcMqE14us9rXWd",true,"5fm1MDn52ygECVK5Aqixb9CCwbmpUb3omjetmvtDbD3r","https://explorer.solana.com/address/2ox45GxvrcDRqj3FyodSA1HQByafTdfcMqE14us9rXWd","ChickenTribe #732","CHKN",,500,,"[{""trait_type"":""Backgrounds"",""value"":""Misty Morning""},{""trait_type"":""Bodies"",""value"":""Ice""},{""trait_type"":""Heads"",""value"":""Dragon Purple""},{""trait_type"":""Faces"",""value"":""Poly Green""},{""trait_type"":""Combs"",""value"":""Basic Green""},{""trait_type"":""Eyes"",""value"":""Eyes Robot""},{""trait_type"":""Accessories"",""value"":""None""},{""trait_type"":""Smokes"",""value"":""None""}]","ChickenTribe","ChickenTribe","[{""uri"":""https://www.arweave.net/rkvbBUwXhT97hbF2ZYvCqOK7fnFJnC6oZw_9-h53iqE?ext=png"",""type"":""image/png""}]",,,"[{""address"":""2NfSe59YAJLDEGMUPAkFRLTMpkXWxa5sTfxmK3YSC3h7"",""share"":50},{""address"":""CKVT4cxMuAS8Hgdk2gCYW5LMfMo1pMVgKFmKpj9Ye5wi"",""share"":25},{""address"":""BkyFQyti1yPZ4rdzC6B7Bf6NNVLfZko1e9r8KZpAzFh"",""share"":25}]","https://www.arweave.net/rkvbBUwXhT97hbF2ZYvCqOK7fnFJnC6oZw_9-h53iqE?ext=png"
"[""A3fcEBpN1g7xjZte8hTAt7NgPT9Lh9WvdKEb9TogSTis"",""7E2errRantVXQH5rBPGnDzTPrHfrviLdA2xRcUKG4tm8"",""GbYdWJwoaEpFbXfQYQpeohYP6tCtsP83J6v36azT1RwL"",""BHwhBBDXehkfUooPnwfAqXjd1SpPRPAgiZWLoPXzkzKp"",""7pPbdAxghjNM1zA7Ra3LxYNMZR1TRn5o79JqxYxiYNhT""]","Solgen #183","[35,25,20,20,0]","solg","https://arweave.net/v8MGPoVimSLR6gZ4kL7qHXarAhPJb0MvBbnHmDzBgpM","[0,0,0,0,0]",true,"9zCrRUEnWgkbbCUNbfuH9Km9EWuH5DBqyQFsZQxHQcoU",true,"7pPbdAxghjNM1zA7Ra3LxYNMZR1TRn5o79JqxYxiYNhT","https://explorer.solana.com/address/9zCrRUEnWgkbbCUNbfuH9Km9EWuH5DBqyQFsZQxHQcoU","Solgen #183","solg","7777 awe-inspiring semi-generative fractals that transcend reality. Each of these psychedelic pieces will both soothe and expand horizons with their otherworldly aura.",250,"https://solgen.io","[{""trait_type"":""rarity"",""value"":""unique""}]","Solgen Alpha","Solgen","[{""uri"":""https://arweave.net/1mc_irXSDVgS63qzzo00eZElcxbnz7ZQtCkrJn3Zxds?ext=png"",""type"":""https://arweave.net/1mc_irXSDVgS63qzzo00eZElcxbnz7ZQtCkrJn3Zxds?ext=png""}]","image",,"[{""address"":""A3fcEBpN1g7xjZte8hTAt7NgPT9Lh9WvdKEb9TogSTis"",""share"":35},{""address"":""7E2errRantVXQH5rBPGnDzTPrHfrviLdA2xRcUKG4tm8"",""share"":25},{""address"":""GbYdWJwoaEpFbXfQYQpeohYP6tCtsP83J6v36azT1RwL"",""share"":20},{""address"":""BHwhBBDXehkfUooPnwfAqXjd1SpPRPAgiZWLoPXzkzKp"",""share"":20},{""address"":""7pPbdAxghjNM1zA7Ra3LxYNMZR1TRn5o79JqxYxiYNhT"",""share"":0}]","https://arweave.net/1mc_irXSDVgS63qzzo00eZElcxbnz7ZQtCkrJn3Zxds?ext=png"
"[""9K4XUuN1rm5ErTzCH5kUg6L3KjC6SvMKMmtspar5HQGi"",""skU11A6Br8HjAWgwFScGgsqzSyG7qQir4AinHa94pRf""]","A Martian Place","[99,1]","SKULL","https://arweave.net/Yh0z-LWY_42B5AslSLTbXUlflLqI89wZC9bQxxdCgH4","[0,1]",false,"CUu14RyqUQwCWdpj2oDSNymeTAmaSy3LbJG3MrXgaA4i",false,"skU11A6Br8HjAWgwFScGgsqzSyG7qQir4AinHa94pRf","https://explorer.solana.com/address/CUu14RyqUQwCWdpj2oDSNymeTAmaSy3LbJG3MrXgaA4i","A Martian Place","SKULL","About the artist: ""@zen0m creates atmospheric pixel places that draw inspiration from old games. Limited palette and resolution pose a challenge - telling stories with just a handful of pieces. Spooky vibes are a common theme, with eerie characters lurking throughout each composition."" // Part of the Skeleton Crew's 31 Days of Airdrops Collection.",800,"https://skeletoncrew.rip/airdrops/10",,,,"[{""uri"":""https://www.arweave.net/4U91U6TG4GrD_GIOI6sdrq52BKIRQJFiAA0B3JFURh8?ext=png"",""type"":""image/png""}]","image",,"[{""address"":""9K4XUuN1rm5ErTzCH5kUg6L3KjC6SvMKMmtspar5HQGi"",""share"":99},{""address"":""skU11A6Br8HjAWgwFScGgsqzSyG7qQir4AinHa94pRf"",""share"":1}]","https://www.arweave.net/4U91U6TG4GrD_GIOI6sdrq52BKIRQJFiAA0B3JFURh8?ext=png"
"[""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F""]","Spectral Mist","[20,20,20,20,20]","LWS","https://arweave.net/8LYoX2SFfrOJ_OCA0hX4NCLQsBvC35t4JVgyR1IdCeU","[1,0,0,0,0]",false,"8C93vcLxiHSu8Aeo3vnRHuxTdzZMXvekNHCMPYXzuR5P",false,"Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf","https://explorer.solana.com/address/8C93vcLxiHSu8Aeo3vnRHuxTdzZMXvekNHCMPYXzuR5P","Spectral Mist","LWS","A hazy accumulation often found in a previously haunted space.
While its true nature is still unclear, this strange substance casts a ghostly shadow over the affected region for a time and has been known to serve as a beacon to other Untethereds.",500,"https://grimsyndicate.com","[{""trait_type"":""Rarity"",""value"":""Common""},{""trait_type"":""Material"",""value"":""Default""}]","Lordrym's Workshop","Grim Syndicate","[{""uri"":""https://arweave.net/yspD3ALr1iPWMctByThb3PWnRofvjlGoWDi2b-oL9ts/index.html"",""type"":""text/html""},{""uri"":""https://arweave.net/yspD3ALr1iPWMctByThb3PWnRofvjlGoWDi2b-oL9ts/main.png"",""type"":""image/png""},{""uri"":""https://arweave.net/yspD3ALr1iPWMctByThb3PWnRofvjlGoWDi2b-oL9ts/front.png"",""type"":""image/png""},{""uri"":""https://arweave.net/yspD3ALr1iPWMctByThb3PWnRofvjlGoWDi2b-oL9ts/back.png"",""type"":""image/png""}]","html",,"[{""address"":""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""share"":20},{""address"":""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""share"":20},{""address"":""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""share"":20},{""address"":""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""share"":20},{""address"":""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F"",""share"":20}]","https://arweave.net/yspD3ALr1iPWMctByThb3PWnRofvjlGoWDi2b-oL9ts/main.png"
"[""Pigv3gFWLWJL8QwrFBkdZLe1RYzNJTSJPGEUNVimJjh"",""DaoSrx3wBdRM8oATwYwfD8BTkHwBibVVv2SLR8LMDnLP"",""7NsngNMtXJNdHgeK4znQDZ5xVzT2nkGoGRGhMWApejCV""]","#4963","[0,50,50]","PSG","https://cdn.piggygang.com/meta/7ed4bdc6c6011702a81212b1f5425ffe.json","[1,0,0]",true,"9dr5xb6haXcG7bkPDySaWZBfZ92vKEYpDHNM5jPBL6Ui",false,"Pigv3gFWLWJL8QwrFBkdZLe1RYzNJTSJPGEUNVimJjh","https://explorer.solana.com/address/9dr5xb6haXcG7bkPDySaWZBfZ92vKEYpDHNM5jPBL6Ui","#4963","PSG","10,000 cute & cruel piggies living on the Solana lands. Each of them are randomly generated with more than 90+ hand drawn traits!",500,"https://piggygang.com","[{""trait_type"":""Name"",""value"":""#4963""},{""trait_type"":""Background"",""value"":""Green""},{""trait_type"":""Body"",""value"":""Yellow""},{""trait_type"":""Clothes"",""value"":""Fancy Sweater""},{""trait_type"":""Earring"",""value"":""Amulet""},{""trait_type"":""Eyes"",""value"":""Beaten""},{""trait_type"":""Head"",""value"":""Leprechaun Hat""},{""trait_type"":""Mouth"",""value"":""Beaten""}]",,,"[{""uri"":""https://cdn.piggygang.com/imgs/7ed4bdc6c6011702a81212b1f5425ffe.jpg"",""type"":""image/jpeg""}]","image",,"[{""address"":""Pigv3gFWLWJL8QwrFBkdZLe1RYzNJTSJPGEUNVimJjh"",""share"":100}]","https://cdn.piggygang.com/imgs/7ed4bdc6c6011702a81212b1f5425ffe.jpg"
"[""6PTSaVPGLzzgAqw9veQUVKhW2ggsEaV5ghBeLsQn2GVN"",""FHJKrc5MJJQLhj2FqiTfNnvLj59wEmaXVfozmp7JKj2A""]","The Tower #360-9","[0,100]","TWRDAO","https://arweave.net/wH9GUGjQbtgXcyNaWE564F3gzloVplxvdheoQfr0eYg","[1,1]",true,"FSbFkkBrwagZWZ1dx1XmtGPzHcnrf7rtBTitnkJBDLQk",true,"GcrjZXzmNDyGDt646hy4ziWNa5ziGAMNdXGdQcDtnBaV","https://explorer.solana.com/address/FSbFkkBrwagZWZ1dx1XmtGPzHcnrf7rtBTitnkJBDLQk","The Tower #360-9","TWRDAO","Residences inside a futuristic skyscraper in the metaverse. Home of the TowerDAO.",500,"https://towerdao.com/enter-the-tower/360/9","[{""trait_type"":""Story"",""value"":360},{""trait_type"":""Room"",""value"":9},{""trait_type"":""Wall"",""value"":""Forest Tree""},{""trait_type"":""Floor"",""value"":""Gold Tile""},{""trait_type"":""Floor Item"",""value"":""Fish""},{""trait_type"":""Big Item"",""value"":""Beanbags""},{""trait_type"":""Small Item 1"",""value"":""Cartire""},{""trait_type"":""View"",""value"":""White""},{""trait_type"":""Background"",""value"":""Pink""}]","The Tower","TowerDAO","[{""uri"":""https://www.arweave.net/nFD_aOLxf1EcwRs0lSb7wYqtcmZRbslYRl-2QJxt80E?ext=png"",""type"":""image/png""}]","image",,"[{""address"":""FHJKrc5MJJQLhj2FqiTfNnvLj59wEmaXVfozmp7JKj2A"",""share"":100}]","https://www.arweave.net/nFD_aOLxf1EcwRs0lSb7wYqtcmZRbslYRl-2QJxt80E?ext=png"
"[""FaYfg3Wf7XpVNVDdGn5ypvKorr6B6287ou3A75QXGGjb"",""6bKEcbyWjVgQiGFzRPsBKBQXB78Q6PRpToxTKkVqmoyH"",""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F""]","Daemon #622","[20,20,20,20,20]","LOTA","https://arweave.net/8erdw_lMRnJmyZ-1n9gAglx_Wu_Pxz4fh4z1-ns9ohw","[1,0,0,0,0]",true,"8fXrdYDvCxiykdTxZV98cLjwFRnGbeGGmModKSBicfyw",false,"FaYfg3Wf7XpVNVDdGn5ypvKorr6B6287ou3A75QXGGjb","https://explorer.solana.com/address/8fXrdYDvCxiykdTxZV98cLjwFRnGbeGGmModKSBicfyw","Daemon #622","LOTA","Rising from the dark void of the Abyssal Plane, Lurkers of the Abyss is a collection of 2916 Daemons born of the Grim Syndicate universe. Will these mythic hellions bring about the destruction of the Knownverse? Or might they be arbiters of a new age for the Ethereal Transit Authority?",500,"https://grimsyndicate.com","[{""trait_type"":""Species"",""value"":""Godeater""},{""trait_type"":""Background"",""value"":""Deep Gray""},{""trait_type"":""Base"",""value"":""Silver""},{""trait_type"":""Eyes"",""value"":""Default""},{""trait_type"":""Horns"",""value"":""Billy - Silver""},{""trait_type"":""ID"",""value"":""622""}]","Lurkers of the Abyss","Grim Syndicate","[{""uri"":""https://arweave.net/MEwgn2kmYBBmY7UW5CcGRe5Jt1u1aH0pZGkzyw0tjnk?ext=png"",""type"":""image/png""}]",,,"[{""address"":""FaYfg3Wf7XpVNVDdGn5ypvKorr6B6287ou3A75QXGGjb"",""share"":20},{""address"":""6bKEcbyWjVgQiGFzRPsBKBQXB78Q6PRpToxTKkVqmoyH"",""share"":20},{""address"":""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""share"":20},{""address"":""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""share"":20},{""address"":""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F"",""share"":20}]","https://arweave.net/MEwgn2kmYBBmY7UW5CcGRe5Jt1u1aH0pZGkzyw0tjnk?ext=png"
"[""A3fcEBpN1g7xjZte8hTAt7NgPT9Lh9WvdKEb9TogSTis"",""7E2errRantVXQH5rBPGnDzTPrHfrviLdA2xRcUKG4tm8"",""GbYdWJwoaEpFbXfQYQpeohYP6tCtsP83J6v36azT1RwL"",""BHwhBBDXehkfUooPnwfAqXjd1SpPRPAgiZWLoPXzkzKp"",""7pPbdAxghjNM1zA7Ra3LxYNMZR1TRn5o79JqxYxiYNhT""]","Solgen #3409","[35,25,20,20,0]","solg","https://arweave.net/KDw-WFAfTKGFxn-NP7Szjj2JxtlW2Li92se4iOMSZKI","[0,0,0,0,0]",true,"J5dvNQxpiYJ4x92cD7gtpiVMkLbFgG9ufWiP6tPosYqt",true,"7pPbdAxghjNM1zA7Ra3LxYNMZR1TRn5o79JqxYxiYNhT","https://explorer.solana.com/address/J5dvNQxpiYJ4x92cD7gtpiVMkLbFgG9ufWiP6tPosYqt","Solgen #3409","solg","7777 awe-inspiring semi-generative fractals that transcend reality. Each of these psychedelic pieces will both soothe and expand horizons with their otherworldly aura.",250,"https://solgen.io","[{""trait_type"":""rarity"",""value"":""common""}]","Solgen Alpha","Solgen","[{""uri"":""https://arweave.net/HgiRkNCvYc7UQqKiwIBeNfrYDBsai-H9GTeFmmb8EN0?ext=png"",""type"":""https://arweave.net/HgiRkNCvYc7UQqKiwIBeNfrYDBsai-H9GTeFmmb8EN0?ext=png""}]","image",,"[{""address"":""A3fcEBpN1g7xjZte8hTAt7NgPT9Lh9WvdKEb9TogSTis"",""share"":35},{""address"":""7E2errRantVXQH5rBPGnDzTPrHfrviLdA2xRcUKG4tm8"",""share"":25},{""address"":""GbYdWJwoaEpFbXfQYQpeohYP6tCtsP83J6v36azT1RwL"",""share"":20},{""address"":""BHwhBBDXehkfUooPnwfAqXjd1SpPRPAgiZWLoPXzkzKp"",""share"":20},{""address"":""7pPbdAxghjNM1zA7Ra3LxYNMZR1TRn5o79JqxYxiYNhT"",""share"":0}]","https://arweave.net/HgiRkNCvYc7UQqKiwIBeNfrYDBsai-H9GTeFmmb8EN0?ext=png"
"[""4dtVSCMTURF2Kv5QKg9nrJpjN4v8rjGZeJFoQjVW2u1T"",""CsSSNshZ3dxazCFdXxwN7899GW5UyyBz6gMAKC8BdT8z""]","Citizen Card #3369","[0,100]","PRTLCC","https://ipfs.io/ipfs/QmXUdhYBFyakhRCrEwwVGNb8yQEZDPsRdYSTiDZc2uPvmA","[1,0]",true,"BH1SzPSFA5XRiZ5BUrUmX3GoMocWuCPAPANaytb6t5eA",true,"CQPpMXLyMyNtd16mvgnnNbWdDEdSfeLnVttH3VR5EdRT","https://explorer.solana.com/address/BH1SzPSFA5XRiZ5BUrUmX3GoMocWuCPAPANaytb6t5eA","Citizen Card #3369","PRTLCC","Portals 'Genesis' Citizen Card",500,,"[{""trait_type"":""Card Type"",""value"":""Genesis""},{""trait_type"":""Card Number"",""value"":""3369""}]","Portals","Portals Citizen Cards","[{""url"":""https://ipfs.io/ipfs/Qmd31K7on1bcfut9Dd7oabWkmZ4DXod4MAsQkoi7mKM72V"",""type"":""image/png""}]",,,"[{""address"":""CsSSNshZ3dxazCFdXxwN7899GW5UyyBz6gMAKC8BdT8z"",""share"":100}]","https://ipfs.io/ipfs/Qmd31K7on1bcfut9Dd7oabWkmZ4DXod4MAsQkoi7mKM72V"
